Sustainable Development Goal (SDG),Keywords present in the news
SDG 1: Erradicação da Pobreza (No Poverty),"baixa renda, reducao da pobreza, assistencia social, bem-estar social, pobreza extrema, paises pobres, erradicacao da pobreza, trabalho infantil, linha da pobreza, extrema pobreza, protecao social, seguro social, acabar com a pobreza, banco de alimentos, pequenos estados insulares em desenvolvimento, erradicar a pobreza extrema"
SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger),"pecuaria, fazenda, pesca, fome, reforma agraria, producao agricola, seguranca alimentar, producao de alimentos, agricultura familiar, pequenos agricultores, desnutricao, fertilizantes, agricultura sustentavel, irrigacao, praticas agricolas, silvicultura, agroflorestal, culturas agricolas, inseguranca alimentar, fertilidade do solo, pequeno produtor, terras agricolas, obesidade, produtividade agricola, fertilizante, sistema alimentar, produtores de alimentos, acabar com a fome, mercado de alimentos, posse de terra, cultura agricola, plantas cultivadas, seguranca alimentar global, pastoreio, desenvolvimento agricola, boas praticas agricolas, mercados agricolas, banco de plantas, direitos da terra, diversidade genetica, precos dos alimentos, banco genetico, governanca do desenvolvimento"
SDG 3: Saúde e Bem-Estar (Good Health and Well-Being),"saude, pandemia, covid-19, doenca, malaria, contaminacao, mortalidade, saude publica, saude indigena, medicina, cancer, vacina, vacinacao, servicos de saude, dieta, depressao, saude humana, vacinas, epidemia, saude mental, diabetes, dengue, mortalidade infantil, suicidio, diarreia, hiv, pneumonia, alcoolismo, tuberculose, sars, expectativa de vida, obesidade, chagas, aids, anemia, sistema de saude, hipertensao, ebola, doencas infecciosas, doencas cardiovasculares, cancer de mama, doencas sexualmente transmissiveis, medicamento, mers, gravidez, organizacao mundial de saude, causa da morte, risco de saude, uso de alcool, assistencia medica, consumo de alcool, doenca contagiosa, sarampo, doenca mental, mortalidade materna, febre tifoide, transmissao de doencas, dependencia quimica, cancer de pulmao, estilo de vida saudavel, saude materna, saude infantil, saude indigenas, contraceptivo, pressao arterial, servico de saude, profissional de saude, risco cardiovascular, virus zika, imunologia, colera, traumatismo craniano, riscos para a saude, conselhos distritais de saude, doenca cardiovascular, mulheres gravidas, doenca infecciosa, hepatite, doencas tropicais, unidade de tratamento intensivo"
SDG 4: Educação de Qualidade (Quality Education),"educacao, escola, capacitacao, paises em desenvolvimento, bolsas, educacao ambiental, ensino medio, escolar, educacional, ensino fundamental, escolas publicas, instituicoes de ensino, ensino superior, educacao infantil, ajuda externa, educacao basica, alfabetizacao, trabalho infantil, educacao formal, formacao profissional, escolaridade, formacao de professores, educacao tecnologica, qualidade da educacao, empoderamento das mulheres, escola primaria, ambiente seguro, instituicoes de ensino superior, ambiente inclusivo, politicas educacionais, igualdade de oportunidades, educacao secundaria, oportunidades iguais, educacao profissional, indicadores de educacao"
SDG 5: Igualdade de Gênero (Gender Equality),"discriminacao, equidade de genero, igualdade de genero, violencia contra a mulher, violencia contra as mulheres, abuso sexual, empreendedorismo feminino, direitos das mulheres, desigualdade de genero, trafico humano, violencia domestica, exploracao sexual, empoderamento das mulheres, direitos reprodutivos, violencia sexual, ajuda estrangeira, mulheres na lideranca, paridade de genero, mulheres espancadas, misoginia"
SDG 6: Água Limpa e Saneamento (Clean Water and Sanitation),"pantanal, recursos hidricos, agua doce, agua potavel, esgoto, acesso a agua, abastecimento de agua, qualidade da agua, seguranca hidrica, falta de agua, tratamento de esgoto, tratamento de agua, estresse hidrico, agua limpa, utilizacao da agua, uso de agua, escassez de agua, gestao da agua, agua subterranea, agua tratada, fontes de agua, ecossistemas aquaticos, gestao de recursos hidricos, aquifero, agua azul, agua preta, agua contaminada, aguas subterraneas, contaminacao da agua, conservacao da agua, estacao de tratamento de esgoto, aguas residuais, disponibilidade de agua, ambiente aquatico, abastecimento de agua potavel, agua de qualidade, conservacao de agua, fonte de agua, sistemas de abastecimento de agua, abastecimento sustentavel, sistema de distribuicao de agua, pegada hidrica, reciclagem de agua, agua cinza, purificacao de agua, seguranca da agua, estacoes de tratamento de esgoto, dessalinizacao, suprimentos de agua, cooperacao transfronteirica, captacao de agua"
SDG 7: Energia Limpa e Acessível (Affordable and Clean Energy),"hidreletrica, energia limpa, renovavel, energia solar, eletricidade, energia renovavel, transicao energetica, eficiencia energetica, consumo de energia, radiacao solar, energia eolica, fotovoltaica, biocombustivel, pesquisa energetica, fontes de energia renovaveis, consumo de energia eletrica, seguranca energetica, acesso a energia, energia sustentavel, fotovoltaico, geracao de energia renovavel, geracao de energia eolica, veiculo eletrico, troca de combustivel, energia termica, politica energetica, sistema fotovoltaico, armazenamento de energia, usinas termicas, energia hidroeletrica, desenvolvimento de energia limpa, producao de hidrogenio, desenvolvimento energetico, medidores inteligentes, conservacao de energia, celula de combustivel, producao de energia renovavel, combustiveis limpos, fonte de energia renovavel, medidor inteligente"
SDG 8: Trabalho Decente e Crescimento Econômico (Decent Work and Economic Growth),"desenvolvimento economico, empreendedorismo, turismo, economia de baixo carbono, crescimento economico, atividade economica, economia circular, desemprego, sindicato, pequenas empresas, organizacao internacional do trabalho, mercado de trabalho, ecoturismo, sindicatos, economico sustentavel, acao climatica, medias empresas, impacto negativo, pequenos negocios, desenvolvimento economico sustentavel, compensacao de carbono, beneficios economicos, turismo sustentavel, crescimento sustentavel, micro e pequenas empresas, salario minimo, direitos trabalhistas, turismo de base comunitaria, trabalho infantil, oportunidades de emprego, projetos de compensacao, impacto economico, oportunidades de trabalho, comercio global, empreendedorismo social, trabalho decente, abertura comercial, trafico humano, crescimento inclusivo, micro, pequenas e medias empresas, empregos de qualidade, salario digno, crescimento economico sustentavel, movimento sindical, trabalho forcado, diversificacao economica, microcredito, desenvolvimento do turismo, desenvolvimento financeiro, compensando carbono, cradle to cradle, salarios iguais, escravidao moderna, crescimento do pib, comercio mundial, taxa de desemprego, produtividade economica, pequenos empresarios, microempresa, pequena empresa, taxas de crescimento economico, economia rural, media empresa"
"SDG 9: Indústria, Inovação e Infraestrutura (Industry, Innovation and Infrastructure)","mitigacao, paises em desenvolvimento, investimentos em infraestrutura, acesso a internet, medias empresas, inovacao tecnologica, industria 4.0, agregacao de valor, setor industrial, investimento em infraestrutura, infraestrutura sustentavel, industria de transformacao, desenvolvimento industrial, tecnologias limpas, promover a inovacao, produtos verdes, servicos de transporte, eficiencia no uso de recursos, sistema de inovacao, desenvolvimento de infraestrutura, gestao da cadeia de valor, tratamento de residuos industriais, cradle to cradle, pequenos empresarios, microempresa, emissoes industriais, processos de inovacao, pequena empresa, infraestrutura regional, media empresa"
SDG 10: Redução das Desigualdades (Reduced Inequalities),"direitos humanos, paises em desenvolvimento, mercado global, inclusao social, racismo, responsabilidade social, imigracao, justica social, bem-estar social, isolamento social, igualdade de genero, ajuda externa, desigualdade social, exclusao social, lgbt, investimento estrangeiro, violacao dos direitos humanos, economico social, desigualdade de genero, dignidade humana, paises menos desenvolvidos, politica social, transformacao economica, investimento estrangeiro direto, protecao social, reduzir as desigualdades, homofobia, classe social, seguro social, inclusao economica, desigualdade economica, oportunidades iguais, normas internacionais de direitos humanos, responsabilidade social corporativa"
SDG 11: Cidades e Comunidades Sustentáveis (Sustainable Cities and Communities),"cidade, cidades, governanca, transporte, emissao de gases de efeito estufa, reciclagem, urbano, saude publica, economia circular, areas urbanas, qualidade do ar, urbanizacao, poluicao do ar, transporte publico, gestao de residuos, patrimonio natural, favelas, tratamento de esgoto, habitacao, material particulado, patrimonio cultural, unesco, crescimento populacional, projeto de construcao, poluicao atmosferica, favela, servicos basicos, metropole, pegada ecologica, urbanismo, desenvolvimento urbano, desenvolvimento territorial, gestao de residuos solidos, ambiente urbano, sistemas de transporte, particulas finas, planejamento urbano, pegada ambiental, congestionamento, carbono negro, aguas residuais, crescimento urbano, niveis de poluicao atmosferica, transporte urbano, planejamento de desenvolvimento, transporte publico urbano, monitoramento da qualidade do ar, assentamentos informais, heranca cultural, gestao de desastres, espacos verdes, design urbano, desenvolvimento urbano sustentavel, espaco publico, sistema de transporte, assentamentos humanos, poluicao da cidade, pm 2.5, espacos publicos, ar ambiente"
