Title,keywords,Goal
multas por desmatamento na amazonia subiram 219% no 1o trimestre,['assistencia social'],SDG 1: Erradicação da Pobreza (No Poverty);
governo libera r$ 640 milhoes para indigenas,['assistencia social'],SDG 1: Erradicação da Pobreza (No Poverty);
"mineracao na amazonia: para a alcoa, o dialogo com a comunidade e a chave para reduzir os impactos",['assistencia social'],SDG 1: Erradicação da Pobreza (No Poverty);
estudo aponta relacao entre reducao da pobreza e do desmatamento,"['reducao da pobreza', 'baixa renda', 'extrema pobreza']",SDG 1: Erradicação da Pobreza (No Poverty);
"novo regime fiscal, salario minimo, investimento privado: os sinais de lula em mensagem ao congresso",['seguro social'],SDG 1: Erradicação da Pobreza (No Poverty);
agenda 2030: o que sao os SDGs de desenvolvimento sustentavel,"['pobreza extrema', 'acabar com a pobreza']",SDG 1: Erradicação da Pobreza (No Poverty);
"desmatamento na amazonia: numeros, causas e consequencias; confira o trabalho do a amazonia em exame",['bem-estar social'],SDG 1: Erradicação da Pobreza (No Poverty);
leia na integra discurso de bolsonaro na assembleia geral da onu,"['pobreza extrema', 'linha da pobreza']",SDG 1: Erradicação da Pobreza (No Poverty);
"novas pandemias podem surgir de virus e bacterias da amazonia, alerta fiocruz",['bem-estar social'],SDG 1: Erradicação da Pobreza (No Poverty);
esg: por um produtivismo verde,['protecao social'],SDG 1: Erradicação da Pobreza (No Poverty);
projeto de lei do mercado de carbono esta pronto para ser votado,['reducao da pobreza'],SDG 1: Erradicação da Pobreza (No Poverty);
o que ha de novo no desmatamento na amazonia,"['pobreza extrema', 'trabalho infantil']",SDG 1: Erradicação da Pobreza (No Poverty);
"contra o consumismo, empresas apostam em 'black friday sustentavel'",['banco de alimentos'],SDG 1: Erradicação da Pobreza (No Poverty);
"desmatamento da amazonia tem alta de 21,97% em 2021",['bem-estar social'],SDG 1: Erradicação da Pobreza (No Poverty);
cop26: os desafios dos paises para transformar promessas em acoes,['paises pobres'],SDG 1: Erradicação da Pobreza (No Poverty);
"cop26: negociacoes avancam, mas dinheiro ainda e um problema",['paises pobres'],SDG 1: Erradicação da Pobreza (No Poverty);
esg: impacto social e aliado da preservacao,['assistencia social'],SDG 1: Erradicação da Pobreza (No Poverty);
"o que salles pensa sobre ibama, madeireiros e doacao dos eua na amazonia",['paises pobres'],SDG 1: Erradicação da Pobreza (No Poverty);
"ricardo salles exclusivo: ibama, madeireiros e doacao dos eua na amazonia",['paises pobres'],SDG 1: Erradicação da Pobreza (No Poverty);
como a industria contribui para o desenvolvimento sustentavel da amazonia,['bem-estar social'],SDG 1: Erradicação da Pobreza (No Poverty);
"desmatamento na amazonia: uma perspectiva historica, por exame invest pro",['bem-estar social'],SDG 1: Erradicação da Pobreza (No Poverty);
projeto da suzano e destaque global de sustentabilidade na onu,['linha da pobreza'],SDG 1: Erradicação da Pobreza (No Poverty);
investir em projetos sociais pode dar mais retorno que titulos publicos,['baixa renda'],SDG 1: Erradicação da Pobreza (No Poverty);
"usando ativos da floresta, startups da amazonia impulsionam a bioeconomia",['bem-estar social'],SDG 1: Erradicação da Pobreza (No Poverty);
"para guedes, pobreza e maior inimiga do meio ambiente  nao e bem assim",['baixa renda'],SDG 1: Erradicação da Pobreza (No Poverty);
um caminho sustentavel para explorar os ativos da floresta,['baixa renda'],SDG 1: Erradicação da Pobreza (No Poverty);
as empresas mais sustentaveis em dez categorias tematicas,"['baixa renda', 'trabalho infantil']",SDG 1: Erradicação da Pobreza (No Poverty);
a luta das guarani e kaiowa na area mais perigosa para mulheres indigenas,['assistencia social'],SDG 1: Erradicação da Pobreza (No Poverty);
"deveriamos reduzir carne, acucar e sal, diz executivo da nestle",['trabalho infantil'],SDG 1: Erradicação da Pobreza (No Poverty);
bolsonaro discursa na assembleia da onu em ny; veja o video,['erradicacao da pobreza'],SDG 1: Erradicação da Pobreza (No Poverty);
onu critica bolsonaro por defender politica de mineracao na amazonia,['pobreza extrema'],SDG 1: Erradicação da Pobreza (No Poverty);
"apos ataques, forca nacional vai acompanhar equipes do icmbio na amazonia",['trabalho infantil'],SDG 1: Erradicação da Pobreza (No Poverty);
as empresas mais sustentaveis de 2017 por categoria,['erradicacao da pobreza'],SDG 1: Erradicação da Pobreza (No Poverty);
acao da cosac naify e ong da livros a criancas na amazonia,['baixa renda'],SDG 1: Erradicação da Pobreza (No Poverty);
eduardo jorge promete manter inflacao no centro da meta,"['bem-estar social', 'baixa renda']",SDG 1: Erradicação da Pobreza (No Poverty);
cupula climatica da onu pede preservacao de florestas,['paises pobres'],SDG 1: Erradicação da Pobreza (No Poverty);
"metade das florestas tropicais desapareceram, diz estudo",['extrema pobreza'],SDG 1: Erradicação da Pobreza (No Poverty);
terras indigenas sao exemplo contra mudancas climaticas,['baixa renda'],SDG 1: Erradicação da Pobreza (No Poverty);
terras indigenas sao exemplo no combate a mudancas climaticas,['baixa renda'],SDG 1: Erradicação da Pobreza (No Poverty);
"copa mais poluente da historia foi tambem a mais sustentavel, diz ministra",['reducao da pobreza'],SDG 1: Erradicação da Pobreza (No Poverty);
forum mundial busca aliar ciencia a desenvolvimento,['erradicacao da pobreza'],SDG 1: Erradicação da Pobreza (No Poverty);
conheca os projetos que serao implantados em 2012,"['reducao da pobreza', 'erradicacao da pobreza']",SDG 1: Erradicação da Pobreza (No Poverty);
governos comprometem-se com a conservacao da amazonia,['erradicacao da pobreza'],SDG 1: Erradicação da Pobreza (No Poverty);
"amazonia nao cumpre SDGs de desenvolvimento do milenio, diz relatorio","['reducao da pobreza', 'trabalho infantil']",SDG 1: Erradicação da Pobreza (No Poverty);
indigenas tem os piores indicadores sociais da amazonia,['erradicacao da pobreza'],SDG 1: Erradicação da Pobreza (No Poverty);
brasil vai compartilhar recursos do fundo amazonia com vizinhos,['pobreza extrema'],SDG 1: Erradicação da Pobreza (No Poverty);
dilma oferece subsidios a agricultores pobres que preservem florestas,['pobreza extrema'],SDG 1: Erradicação da Pobreza (No Poverty);
google usa satelites para ajudar a proteger florestas,['paises pobres'],SDG 1: Erradicação da Pobreza (No Poverty);
amazonia sustentavel precisa de investimento permanente,['linha da pobreza'],SDG 1: Erradicação da Pobreza (No Poverty);
programa conduzido pelo governo britanico reduz pobreza com preservacao,['reducao da pobreza'],SDG 1: Erradicação da Pobreza (No Poverty);
nestle monta supermercado flutuante na amazonia,['baixa renda'],SDG 1: Erradicação da Pobreza (No Poverty);
nestle comeca a fazer barulho com acoes sustentaveis,['baixa renda'],SDG 1: Erradicação da Pobreza (No Poverty);
exame elege o walmart a empresa sustentavel do ano,['baixa renda'],SDG 1: Erradicação da Pobreza (No Poverty);
"biden anuncia contribuicao dos eua de r$ 2,5 bi para fundo amazonia",['pequenos estados insulares em desenvolvimento'],SDG 1: Erradicação da Pobreza (No Poverty);
lula vai receber sugestoes para amazonia na cop 27,['bem-estar social'],SDG 1: Erradicação da Pobreza (No Poverty);
filha da amazonia': secretaria nacional de direitos lgbtqia+ quer 'transcidadania' federal e 'politicas publicas em locais onde a protecao nao chega'; videos,['assistencia social'],SDG 1: Erradicação da Pobreza (No Poverty);
programa da franca oferece bolsas de intercambio para estudantes universitarios da amazonia,['baixa renda'],SDG 1: Erradicação da Pobreza (No Poverty);
"ministra do meio ambiente do reino unido visita comunidade quilombola no para: 'sao guardias da amazonia',diz",['reducao da pobreza'],SDG 1: Erradicação da Pobreza (No Poverty);
um gol para amazonia': idesam lanca campanha para recuperar 7 hectares de floresta,['reducao da pobreza'],SDG 1: Erradicação da Pobreza (No Poverty);
cop 27: helder barbalho entrega carta de compromisso comum de transicao climatica para amazonia a lula,"['pobreza extrema', 'erradicar a pobreza extrema']",SDG 1: Erradicação da Pobreza (No Poverty);
grito do excluidos reune manifestantes em boa vista contra o garimpo na amazonia,['assistencia social'],SDG 1: Erradicação da Pobreza (No Poverty);
"o assunto #820 a #824: a urgencia de salvar a amazonia, caso jefferson - a baderna bolsonarista, a batalha do salario minimo na eleicao, o papel de minas gerais no desfecho da eleicao, e taxa de abstencao - a incognita final",['reducao da pobreza'],SDG 1: Erradicação da Pobreza (No Poverty);
ministerio articula criacao de bolsa familia para indigenas,"['protecao social', 'assistencia social']",SDG 1: Erradicação da Pobreza (No Poverty);
investimento em saneamento em manaus supera outras capitais do norte,['baixa renda'],SDG 1: Erradicação da Pobreza (No Poverty);
"compra de terra na amazonia por madeireira espanhola e nula, diz incra","['reforma agraria', 'fazenda']",SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
amazonia: bolsonaro agradece a putin por defender soberania brasileira,['fertilizantes'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
so 2 dos 9 estados da amazonia legal dizem ter alertado uniao sobre garimpo em terras indigenas,['pesca'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
cultivo da palma de oleo na amazonia sera tema de debate no lide brazil conference,['seguranca alimentar'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
"em davos, marina diz que, se mundo nao preservar, amazonia sera destruida",['fazenda'],SDG 2: Fome Zero e Agricultura Sustentável (Zero Hunger);
